프레임,EAR,눈 깜빡임,눈 깜빡임 빈도(Hz)
1,0.241,X,0.91
2,0.3017,X,
3,0.2965,X,
4,0.2903,X,
5,0.2972,X,
6,0.2908,X,
7,0.2982,X,
8,0.2986,X,
9,0.3032,X,
10,0.2995,X,
11,0.2998,X,
12,0.3071,X,
13,0.2979,X,
14,0.3,X,
15,0.3018,X,
16,0.2997,X,
17,0.2986,X,
18,0.3028,X,
19,0.299,X,
20,0.2998,X,
21,0.3049,X,
22,0.3017,X,
23,0.3022,X,
24,0.3017,X,
25,0.297,X,
26,0.3036,X,
27,0.2955,X,
28,0.3039,X,
29,0.2942,X,
30,0.2942,X,
31,0.2939,X,
32,0.2946,X,
33,0.2939,X,
34,0.2999,X,
35,0.2939,X,
36,0.3087,X,
37,0.2919,X,
38,0.3089,X,
39,0.2995,X,
40,0.2974,X,
41,0.301,X,
42,0.3025,X,
43,0.3015,X,
44,0.2978,X,
45,0.297,X,
46,0.2947,X,
47,0.3025,X,
48,0.2987,X,
49,0.3006,X,
50,0.2974,X,
51,0.3,X,
52,0.2989,X,
53,0.2956,X,
54,0.2969,X,
55,0.2957,X,
56,0.292,X,
57,0.2975,X,
58,0.2936,X,
59,0.3001,X,
60,0.2935,X,
61,0.3,X,
62,0.289,X,
63,0.2917,X,
64,0.2976,X,
65,0.2899,X,
66,0.3052,X,
67,0.2988,X,
68,0.2922,X,
69,0.2648,X,
70,0.2197,X,
71,0.1808,X,
72,0.1873,X,
73,0.1856,X,
74,0.1742,X,
75,0.1819,X,
76,0.2109,O,
77,0.2377,X,
78,0.2492,X,
79,0.2547,X,
80,0.2699,X,
81,0.2723,X,
82,0.2801,X,
83,0.277,X,
84,0.2707,X,
85,0.2782,X,
86,0.2822,X,
87,0.2763,X,
88,0.2764,X,
89,0.2828,X,
90,0.2892,X,
91,0.2798,X,
92,0.285,X,
93,0.298,X,
94,0.2851,X,
95,0.2875,X,
96,0.2871,X,
97,0.2874,X,
98,0.2999,X,
99,0.291,X,
100,0.2925,X,
101,0.3008,X,
102,0.2855,X,
103,0.2808,X,
104,0.2737,X,
105,0.2504,X,
106,0.2126,X,
107,0.1784,X,
108,0.1776,X,
109,0.1827,X,
110,0.176,X,
111,0.1868,X,
112,0.2125,O,
113,0.2288,X,
114,0.2446,X,
115,0.2596,X,
116,0.2632,X,
117,0.2624,X,
118,0.2631,X,
119,0.2673,X,
120,0.2655,X,
121,0.2674,X,
122,0.2699,X,
123,0.2684,X,
124,0.2731,X,
125,0.2744,X,
126,0.2668,X,
127,0.2601,X,
128,0.2345,X,
129,0.2023,X,
130,0.1756,X,
131,0.1734,X,
132,0.1837,X,
133,0.1751,X,
134,0.1704,X,
135,0.1838,X,
136,0.2073,X,
137,0.2291,O,
138,0.2533,X,
139,0.256,X,
140,0.2587,X,
141,0.2634,X,
142,0.2729,X,
143,0.2772,X,
144,0.2779,X,
145,0.286,X,
146,0.293,X,
147,0.2973,X,
148,0.2903,X,
149,0.2915,X,
150,0.2918,X,
151,0.2878,X,
152,0.2876,X,
153,0.2914,X,
154,0.2871,X,
155,0.2878,X,
156,0.2939,X,
157,0.288,X,
158,0.2863,X,
159,0.2819,X,
160,0.2763,X,
161,0.2516,X,
162,0.1986,X,
163,0.1803,X,
164,0.1947,X,
165,0.176,X,
166,0.1711,X,
167,0.1688,X,
168,0.1724,X,
169,0.203,X,
170,0.2289,O,
171,0.2396,X,
172,0.2453,X,
173,0.2523,X,
174,0.257,X,
175,0.2599,X,
176,0.2602,X,
177,0.2591,X,
178,0.2607,X,
179,0.2587,X,
180,0.2633,X,
181,0.2697,X,
182,0.2652,X,
183,0.2672,X,
184,0.2665,X,
185,0.2645,X,
186,0.272,X,
187,0.2633,X,
188,0.2707,X,
189,0.2806,X,
190,0.2822,X,
191,0.2753,X,
192,0.2835,X,
193,0.2858,X,
194,0.285,X,
195,0.294,X,
196,0.2892,X,
197,0.2962,X,
198,0.2929,X,
199,0.2926,X,
200,0.2948,X,
201,0.3041,X,
202,0.2991,X,
203,0.3053,X,
204,0.3002,X,
205,0.3056,X,
206,0.3041,X,
207,0.3015,X,
208,0.3056,X,
209,0.3042,X,
210,0.3033,X,
211,0.3055,X,
212,0.2992,X,
213,0.3033,X,
214,0.299,X,
215,0.2728,X,
216,0.2418,X,
217,0.1928,X,
218,0.1849,X,
219,0.1915,X,
220,0.1845,X,
221,0.1811,X,
222,0.1898,X,
223,0.2104,O,
224,0.2112,X,
225,0.2306,X,
226,0.2452,X,
227,0.255,X,
228,0.2588,X,
229,0.2654,X,
230,0.271,X,
231,0.2753,X,
232,0.2731,X,
233,0.2718,X,
234,0.2721,X,
235,0.2687,X,
236,0.283,X,
237,0.2694,X,
238,0.2841,X,
239,0.2687,X,
240,0.2766,X,
241,0.2829,X,
242,0.2726,X,
243,0.2887,X,
244,0.2714,X,
245,0.2921,X,
246,0.275,X,
247,0.2726,X,
248,0.2893,X,
249,0.2753,X,
250,0.2791,X,
251,0.2842,X,
252,0.2821,X,
253,0.2777,X,
254,0.2915,X,
255,0.2777,X,
256,0.2831,X,
257,0.2794,X,
258,0.2829,X,
259,0.2816,X,
260,0.2822,X,
261,0.2848,X,
262,0.2682,X,
263,0.2347,X,
264,0.1895,X,
265,0.1839,X,
266,0.1795,X,
267,0.1761,X,
268,0.1748,X,
269,0.1659,X,
270,0.163,X,
271,0.1636,X,
272,0.1644,X,
273,0.1811,X,
274,0.209,X,
275,0.2323,O,
276,0.2693,X,
277,0.283,X,
278,0.2968,X,
279,0.316,X,
280,0.3394,X,
281,0.3396,X,
282,0.3535,X,
283,0.3654,X,
284,0.3472,X,
285,0.3605,X,
286,0.3612,X,
287,0.3679,X,
288,0.3785,X,
289,0.3699,X,
290,0.3902,X,
291,0.3808,X,
292,0.3841,X,
293,0.3795,X,
294,0.3616,X,
295,0.3855,X,
296,0.3734,X,
297,0.3807,X,
298,0.3643,X,
299,0.3761,X,
300,0.3719,X,
301,0.3745,X,
302,0.3937,X,
303,0.3867,X,
304,0.3943,X,
305,0.3872,X,
306,0.3946,X,
307,0.4124,X,
308,0.4059,X,
309,0.4097,X,
310,0.4253,X,
311,0.4166,X,
312,0.4075,X,
313,0.4172,X,
314,0.4234,X,
315,0.4143,X,
316,0.4201,X,
317,0.4189,X,
318,0.4344,X,
319,0.4334,X,
320,0.4244,X,
321,0.4233,X,
322,0.422,X,
323,0.4297,X,
324,0.4271,X,
325,0.4144,X,
326,0.4229,X,
327,0.4231,X,
328,0.4119,X,
329,0.4055,X,
330,0.393,X,
331,0.3854,X,
332,0.3799,X,
333,0.3748,X,
334,0.3637,X,
335,0.3627,X,
336,0.344,X,
337,0.3355,X,
338,0.3255,X,
339,0.295,X,
340,0.2832,X,
341,0.2673,X,
342,0.273,X,
343,0.2674,X,
344,0.2655,X,
345,0.267,X,
346,0.2671,X,
347,0.2731,X,
348,0.2752,X,
349,0.2767,X,
350,0.274,X,
351,0.2856,X,
352,0.274,X,
353,0.2635,X,
354,0.2703,X,
355,0.2922,X,
356,0.2948,X,
357,0.3095,X,
358,0.328,X,
359,0.3268,X,
360,0.3261,X,
361,0.3278,X,
362,0.3376,X,
363,0.3312,X,
364,0.3297,X,
365,0.3292,X,
366,0.3316,X,
367,0.3414,X,
368,0.3436,X,
369,0.343,X,
370,0.3462,X,
371,0.3422,X,
372,0.3403,X,
373,0.3395,X,
374,0.3422,X,
375,0.3453,X,
376,0.3338,X,
377,0.3315,X,
378,0.3323,X,
379,0.3285,X,
380,0.338,X,
381,0.3383,X,
382,0.3409,X,
383,0.3359,X,
384,0.3414,X,
385,0.3411,X,
386,0.3364,X,
387,0.3459,X,
388,0.3407,X,
389,0.3407,X,
390,0.3427,X,
391,0.3492,X,
392,0.343,X,
393,0.343,X,
394,0.3386,X,
395,0.3374,X,
396,0.328,X,
397,0.3309,X,
398,0.3323,X,
399,0.3166,X,
400,0.3069,X,
401,0.313,X,
402,0.3097,X,
403,0.2965,X,
404,0.2904,X,
405,0.2687,X,
406,0.2665,X,
407,0.272,X,
408,0.2701,X,
409,0.2689,X,
410,0.2899,X,
411,0.2841,X,
412,0.2865,X,
413,0.2874,X,
414,0.2842,X,
415,0.2823,X,
416,0.2874,X,
417,0.2834,X,
418,0.2837,X,
419,0.281,X,
420,0.2617,X,
421,0.2178,X,
422,0.1892,X,
423,0.1847,X,
424,0.182,X,
425,0.1965,X,
426,0.2123,O,
427,0.2401,X,
428,0.2518,X,
429,0.2546,X,
430,0.2537,X,
431,0.25,X,
432,0.246,X,
433,0.2534,X,
434,0.245,X,
435,0.2437,X,
436,0.2559,X,
437,0.2561,X,
438,0.2517,X,
439,0.2503,X,
440,0.2593,X,
441,0.2603,X,
442,0.2595,X,
443,0.2716,X,
444,0.2657,X,
445,0.2776,X,
446,0.2768,X,
447,0.2745,X,
448,0.2836,X,
449,0.2756,X,
450,0.2826,X,
451,0.2726,X,
452,0.2785,X,
453,0.2807,X,
454,0.2826,X,
455,0.2833,X,
456,0.2809,X,
457,0.2854,X,
458,0.2837,X,
459,0.2857,X,
460,0.2935,X,
461,0.2863,X,
